,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent,date_year,date_month,date_day,sent_neg,sent_neu,sent_pos,target_variable
29,1316.02,1320.71,1296.53,1318.86,710563584.0,2012-05-23,128.33333333333334,0.05,Positive,2012,5,23,0,0,1,1
30,1318.72,1324.14,1310.5,1320.68,624818176.0,2012-05-24,373.8,0.02,Positive,2012,5,24,0,0,1,1
31,1320.81,1324.2,1314.23,1317.82,458230496.0,2012-05-25,291.1818181818182,0.1,Positive,2012,5,25,0,0,1,0
32,1318.9,1334.93,1318.9,1332.42,560752768.0,2012-05-29,157.32258064516128,0.13,Positive,2012,5,29,0,0,1,1
33,1331.25,1331.25,1310.76,1313.32,590658176.0,2012-05-30,190.41463414634143,0.13,Positive,2012,5,30,0,0,1,0
34,1313.09,1319.74,1298.9,1310.33,820550304.0,2012-05-31,168.9090909090909,0.1,Positive,2012,5,31,0,0,1,0
35,1309.87,1309.87,1277.25,1278.05,794839104.0,2012-06-01,200.59375,0.09,Positive,2012,6,1,0,0,1,0
36,1278.29,1282.55,1266.74,1278.18,647897728.0,2012-06-04,119.4,-0.0,Negative,2012,6,4,1,0,0,1
37,1277.82,1287.62,1274.16,1285.5,564873408.0,2012-06-05,332.0769230769231,0.04,Positive,2012,6,5,0,0,1,1
38,1285.61,1315.13,1285.61,1315.13,666071424.0,2012-06-06,355.04,0.07,Positive,2012,6,6,0,0,1,1
39,1316.15,1329.05,1312.68,1314.99,658585792.0,2012-06-07,247.7111111111111,0.13,Positive,2012,6,7,0,0,1,0
40,1314.99,1325.81,1307.77,1325.66,539308928.0,2012-06-08,229.48076923076923,0.08,Positive,2012,6,8,0,0,1,1
41,1325.72,1335.52,1307.73,1308.93,578636224.0,2012-06-11,249.66666666666663,0.11,Positive,2012,6,11,0,0,1,0
42,1309.4,1324.31,1306.62,1324.18,586248896.0,2012-06-12,269.22727272727275,0.04,Positive,2012,6,12,0,0,1,1
43,1324.02,1327.28,1310.51,1314.88,566078592.0,2012-06-13,162.08,0.11,Positive,2012,6,13,0,0,1,0
44,1314.88,1333.68,1314.14,1329.1,616595776.0,2012-06-14,168.74285714285713,0.05,Positive,2012,6,14,0,0,1,1
45,1329.19,1343.32,1329.19,1342.83,820550304.0,2012-06-15,122.27272727272728,0.02,Positive,2012,6,15,0,0,1,1
46,1342.42,1348.22,1334.46,1344.78,548918272.0,2012-06-18,166.8695652173913,0.04,Positive,2012,6,18,0,0,1,1
47,1344.83,1363.46,1344.83,1357.98,594854016.0,2012-06-19,165.725,0.11,Positive,2012,6,19,0,0,1,1
48,1358.04,1361.57,1346.45,1355.69,582090880.0,2012-06-20,298.09302325581393,0.05,Positive,2012,6,20,0,0,1,0
49,1355.43,1358.27,1324.41,1325.51,687558976.0,2012-06-21,146.96296296296296,0.13,Positive,2012,6,21,0,0,1,0
50,1325.92,1337.82,1325.92,1335.02,820550304.0,2012-06-22,225.28571428571428,0.11,Positive,2012,6,22,0,0,1,1
51,1334.9,1334.9,1309.27,1313.72,605834880.0,2012-06-25,189.2941176470588,0.04,Positive,2012,6,25,0,0,1,0
52,1314.09,1324.24,1310.3,1319.99,557936512.0,2012-06-26,290.125,0.12,Positive,2012,6,26,0,0,1,1
53,1320.71,1334.4,1320.71,1331.85,508537792.0,2012-06-27,206.21621621621625,0.06,Positive,2012,6,27,0,0,1,1
54,1331.52,1331.52,1313.29,1329.04,701561280.0,2012-06-28,199.2142857142857,0.1,Positive,2012,6,28,0,0,1,0
55,1330.12,1362.17,1330.12,1362.16,820550304.0,2012-06-29,158.22727272727272,0.08,Positive,2012,6,29,0,0,1,1
56,1362.33,1366.35,1355.7,1365.51,550391104.0,2012-07-02,244.94736842105263,0.08,Positive,2012,7,2,0,0,1,1
57,1365.75,1374.81,1363.53,1374.02,340459584.0,2012-07-03,206.96,0.03,Positive,2012,7,3,0,0,1,1
58,1373.72,1373.85,1363.02,1367.58,499612000.0,2012-07-05,149.375,0.11,Positive,2012,7,5,0,0,1,0
59,1367.09,1367.09,1348.03,1354.68,483174496.0,2012-07-06,101.72727272727272,0.02,Positive,2012,7,6,0,0,1,0
60,1354.66,1354.87,1346.65,1352.46,496238912.0,2012-07-09,125.26470588235294,0.07,Positive,2012,7,9,0,0,1,0
61,1352.96,1361.54,1336.27,1341.47,568883904.0,2012-07-10,163.40740740740742,0.06,Positive,2012,7,10,0,0,1,0
62,1341.4,1345.0,1333.25,1341.45,606265408.0,2012-07-11,207.0555555555556,0.09,Positive,2012,7,11,0,0,1,0
63,1341.29,1341.29,1325.41,1334.76,611763776.0,2012-07-12,191.52272727272728,0.11,Positive,2012,7,12,0,0,1,0
64,1334.81,1357.7,1334.81,1356.78,530837184.0,2012-07-13,199.57142857142856,0.02,Positive,2012,7,13,0,0,1,1
65,1356.5,1357.26,1348.51,1353.64,471627008.0,2012-07-16,353.7931034482759,0.08,Positive,2012,7,16,0,0,1,0
66,1353.68,1365.36,1345.07,1363.67,577939392.0,2012-07-17,176.46875,0.05,Positive,2012,7,17,0,0,1,1
67,1363.58,1375.26,1358.96,1372.78,589123776.0,2012-07-18,173.125,0.07,Positive,2012,7,18,0,0,1,1
68,1373.01,1380.39,1371.21,1376.51,643162880.0,2012-07-19,224.16666666666663,0.05,Positive,2012,7,19,0,0,1,1
69,1376.51,1376.51,1362.19,1362.66,820550304.0,2012-07-20,171.0,0.02,Positive,2012,7,20,0,0,1,0
70,1362.34,1362.34,1337.56,1350.52,602347072.0,2012-07-23,172.69230769230768,0.02,Positive,2012,7,23,0,0,1,0
71,1350.52,1351.53,1329.24,1338.31,632833408.0,2012-07-24,86.95833333333333,0.02,Positive,2012,7,24,0,0,1,0
72,1338.35,1343.98,1331.5,1337.89,653733632.0,2012-07-25,187.3928571428572,0.02,Positive,2012,7,25,0,0,1,0
73,1338.17,1363.13,1338.17,1360.02,714241984.0,2012-07-26,111.36111111111111,0.02,Positive,2012,7,26,0,0,1,1
74,1360.05,1389.19,1360.05,1385.97,751211776.0,2012-07-27,151.2173913043478,0.03,Positive,2012,7,27,0,0,1,1
75,1385.94,1391.74,1381.37,1385.3,492528704.0,2012-07-30,121.22727272727272,0.0,Positive,2012,7,30,0,0,1,0
76,1385.27,1387.16,1379.17,1379.32,679418368.0,2012-07-31,192.1025641025641,0.1,Positive,2012,7,31,0,0,1,0
77,1379.32,1385.03,1373.35,1375.14,703061120.0,2012-08-01,260.4642857142857,0.03,Positive,2012,8,1,0,0,1,0
78,1375.13,1375.13,1354.65,1365.0,625895104.0,2012-08-02,212.1,0.11,Positive,2012,8,2,0,0,1,0
79,1365.45,1394.16,1365.45,1390.99,558787072.0,2012-08-03,110.125,0.08,Positive,2012,8,3,0,0,1,1
80,1391.04,1399.63,1391.04,1394.23,486460096.0,2012-08-06,163.0952380952381,0.09,Positive,2012,8,6,0,0,1,1
81,1394.46,1407.14,1394.46,1401.35,533384384.0,2012-08-07,201.3181818181818,0.06,Positive,2012,8,7,0,0,1,1
82,1401.23,1404.14,1396.13,1402.22,472937792.0,2012-08-08,406.8181818181818,0.06,Positive,2012,8,8,0,0,1,1
83,1402.26,1405.95,1398.8,1402.8,456085696.0,2012-08-09,196.0,0.06,Positive,2012,8,9,0,0,1,1
84,1402.58,1405.98,1395.62,1405.87,490295616.0,2012-08-10,174.4516129032258,-0.03,Negative,2012,8,10,1,0,0,1
85,1405.87,1405.87,1397.32,1404.11,396726784.0,2012-08-13,140.66666666666666,-0.02,Negative,2012,8,13,1,0,0,0
86,1404.36,1410.03,1400.6,1403.93,453956416.0,2012-08-14,135.95454545454547,0.06,Positive,2012,8,14,0,0,1,0
87,1403.89,1407.73,1401.83,1405.53,438823200.0,2012-08-15,172.4193548387097,0.09,Positive,2012,8,15,0,0,1,1
88,1405.57,1417.44,1404.15,1415.51,521541184.0,2012-08-16,219.36486486486487,0.1,Positive,2012,8,16,0,0,1,1
89,1415.84,1418.71,1414.67,1418.16,600927232.0,2012-08-17,182.2678571428572,-0.0,Negative,2012,8,17,1,0,0,1
90,1417.85,1418.13,1412.12,1418.13,443600704.0,2012-08-20,311.7916666666667,0.03,Positive,2012,8,20,0,0,1,0
91,1418.13,1426.68,1410.86,1413.17,531114496.0,2012-08-21,299.7586206896552,0.11,Positive,2012,8,21,0,0,1,0
92,1413.09,1416.12,1406.78,1413.49,508463392.0,2012-08-22,282.05263157894734,-0.01,Negative,2012,8,22,1,0,0,1
93,1413.49,1413.49,1400.5,1402.08,462198016.0,2012-08-23,185.3823529411765,0.02,Positive,2012,8,23,0,0,1,0
94,1401.99,1413.46,1398.04,1411.13,432340000.0,2012-08-24,281.7619047619048,0.03,Positive,2012,8,24,0,0,1,1
95,1411.13,1416.17,1409.11,1410.44,421847008.0,2012-08-27,177.52631578947367,0.02,Positive,2012,8,27,0,0,1,0
96,1410.44,1413.63,1405.59,1409.3,410787904.0,2012-08-28,94.4,0.05,Positive,2012,8,28,0,0,1,0
97,1409.32,1413.95,1406.57,1410.49,408841216.0,2012-08-29,77.83333333333333,0.13,Positive,2012,8,29,0,0,1,1
98,1410.08,1410.08,1397.01,1399.48,406387488.0,2012-08-30,207.23076923076923,-0.030000000000000013,Negative,2012,8,30,1,0,0,0
99,1400.07,1413.09,1398.96,1406.58,575151872.0,2012-08-31,78.875,0.06,Positive,2012,8,31,0,0,1,1
100,1406.54,1409.31,1396.56,1404.94,479796288.0,2012-09-04,560.0625,0.04,Positive,2012,9,4,0,0,1,0
101,1404.94,1408.81,1401.25,1403.43,485651104.0,2012-09-05,423.625,0.08,Positive,2012,9,5,0,0,1,0
102,1403.74,1432.12,1403.74,1432.11,577384896.0,2012-09-06,212.6,0.11,Positive,2012,9,6,0,0,1,1
103,1432.12,1437.92,1431.45,1437.92,550364672.0,2012-09-07,247.72727272727272,0.13,Positive,2012,9,7,0,0,1,1
104,1437.92,1438.74,1428.98,1429.08,494991808.0,2012-09-10,53.0,0.0,Neutral,2012,9,10,0,1,0,0
105,1429.13,1437.76,1429.13,1433.56,527348704.0,2012-09-11,282.5833333333333,0.11,Positive,2012,9,11,0,0,1,1
106,1433.56,1439.15,1432.99,1436.56,509502912.0,2012-09-12,131.19354838709677,0.12,Positive,2012,9,12,0,0,1,1
107,1436.56,1463.76,1435.34,1459.99,617087424.0,2012-09-13,170.8125,0.08,Positive,2012,9,13,0,0,1,1
108,1460.07,1474.51,1460.07,1465.77,745929984.0,2012-09-14,214.25,0.01,Positive,2012,9,14,0,0,1,1
109,1465.42,1465.63,1457.55,1461.19,525147488.0,2012-09-17,74.0,0.13,Positive,2012,9,17,0,0,1,0
110,1461.19,1461.47,1456.13,1459.32,518979296.0,2012-09-18,182.2,0.03,Positive,2012,9,18,0,0,1,0
111,1459.5,1465.15,1457.88,1461.05,536734496.0,2012-09-19,58.0,0.06,Positive,2012,9,19,0,0,1,1
112,1461.05,1461.23,1449.98,1460.26,541019392.0,2012-09-20,140.0,0.02,Positive,2012,9,20,0,0,1,0
113,1460.34,1467.07,1459.51,1460.15,820550304.0,2012-09-21,171.625,0.13,Positive,2012,9,21,0,0,1,0
114,1459.76,1460.72,1452.06,1456.89,509948000.0,2012-09-24,121.66666666666669,0.13,Positive,2012,9,24,0,0,1,0
115,1456.94,1463.24,1441.59,1441.59,609070272.0,2012-09-25,57.0,-0.030000000000000013,Negative,2012,9,25,1,0,0,0
116,1441.6,1441.6,1430.53,1433.32,545300672.0,2012-09-26,278.625,0.08,Positive,2012,9,26,0,0,1,0
117,1433.36,1450.2,1433.36,1447.15,498622688.0,2012-09-27,286.5833333333333,-0.0,Negative,2012,9,27,1,0,0,1
118,1447.13,1447.13,1435.6,1440.67,640858624.0,2012-09-28,238.5,0.13,Positive,2012,9,28,0,0,1,0
119,1440.9,1457.14,1440.9,1444.49,528217600.0,2012-10-01,92.66666666666669,0.13,Positive,2012,10,1,0,0,1,1
120,1444.99,1451.52,1439.01,1445.75,468189184.0,2012-10-02,456.0833333333333,-0.0,Negative,2012,10,2,1,0,0,1
121,1446.05,1454.3,1441.99,1450.99,522672704.0,2012-10-03,70.71428571428571,0.07,Positive,2012,10,3,0,0,1,1
122,1451.08,1463.14,1451.08,1461.4,510423104.0,2012-10-04,183.0,0.02,Positive,2012,10,4,0,0,1,1
123,1461.4,1470.96,1456.89,1460.93,485459808.0,2012-10-05,220.0,0.13,Positive,2012,10,5,0,0,1,0
124,1460.93,1460.93,1453.1,1455.88,359194400.0,2012-10-08,461.0,0.07,Positive,2012,10,8,0,0,1,0
125,1455.9,1455.9,1441.18,1441.48,487372192.0,2012-10-09,148.66666666666666,0.12,Positive,2012,10,9,0,0,1,0
126,1441.48,1442.52,1430.64,1432.56,463834208.0,2012-10-10,359.25,0.02,Positive,2012,10,10,0,0,1,0
127,1432.82,1443.9,1432.82,1432.84,506534592.0,2012-10-11,113.33333333333331,0.12,Positive,2012,10,11,0,0,1,1
128,1432.84,1438.43,1425.53,1428.59,523056000.0,2012-10-12,347.7142857142857,-0.03,Negative,2012,10,12,1,0,0,0
129,1428.75,1441.31,1427.24,1440.13,505754496.0,2012-10-15,47.625,0.08,Positive,2012,10,15,0,0,1,1
130,1440.31,1455.51,1440.31,1454.92,502769984.0,2012-10-16,389.5,0.13,Positive,2012,10,16,0,0,1,1
131,1454.22,1462.2,1453.35,1460.91,568299584.0,2012-10-17,100.33333333333331,0.1,Positive,2012,10,17,0,0,1,1
132,1460.94,1464.02,1452.63,1457.34,586051968.0,2012-10-18,53.0,0.13,Positive,2012,10,18,0,0,1,0
133,1457.34,1457.34,1429.85,1433.19,820550304.0,2012-10-19,198.0,0.0,Neutral,2012,10,19,0,1,0,0
