,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
19,1363.2,1363.73,1343.13,1354.58,728912384,2012-05-09,207.8370786516854,0.09354862989694449,Positive
20,1354.58,1365.88,1354.58,1357.99,657005824,2012-05-10,145.32432432432432,0.09962450100842955,Positive
21,1358.11,1365.66,1348.89,1353.39,627982912,2012-05-11,186.72222222222223,0.062285788698195316,Positive
22,1351.93,1351.93,1336.61,1338.35,641538624,2012-05-14,366.1525423728813,0.09802400418133263,Positive
23,1338.36,1344.94,1328.41,1330.66,665603904,2012-05-15,158.09459459459458,0.11634800181675183,Positive
24,1330.78,1341.78,1324.79,1324.8,677159424,2012-05-16,280.16279069767444,0.11335891414239536,Positive
25,1324.82,1326.36,1304.86,1304.86,693854080,2012-05-17,134.13725490196077,0.059634846362787534,Positive
26,1305.05,1312.24,1291.98,1295.22,999102080,2012-05-18,127.64615384615385,0.05851610334110333,Positive
27,1295.73,1316.39,1295.73,1315.99,660701824,2012-05-21,215.11904761904762,0.06304446959352875,Positive
28,1316.09,1328.49,1310.04,1316.63,649988224,2012-05-22,193.77777777777777,0.11440342278606165,Positive
29,1316.02,1320.71,1296.53,1318.86,710563584,2012-05-23,128.33333333333334,0.045477351352351356,Positive
30,1318.72,1324.14,1310.5,1320.68,624818176,2012-05-24,373.8,0.019634227669605014,Positive
31,1320.81,1324.2,1314.23,1317.82,458230496,2012-05-25,291.1818181818182,0.09553852177819117,Positive
32,1318.9,1334.93,1318.9,1332.42,560752768,2012-05-29,157.32258064516128,0.15964338081273566,Positive
33,1331.25,1331.25,1310.76,1313.32,590658176,2012-05-30,190.41463414634146,0.12969179544120532,Positive
34,1313.09,1319.74,1298.9,1310.33,951090816,2012-05-31,168.9090909090909,0.10248096039762707,Positive
35,1309.87,1309.87,1277.25,1278.05,794839104,2012-06-01,200.59375,0.09094370039682541,Positive
36,1278.29,1282.55,1266.74,1278.18,647897728,2012-06-04,119.4,-0.0025,Negative
37,1277.82,1287.62,1274.16,1285.5,564873408,2012-06-05,332.0769230769231,0.036729622501681304,Positive
38,1285.61,1315.13,1285.61,1315.13,666071424,2012-06-06,355.04,0.07479159451659449,Positive
39,1316.15,1329.05,1312.68,1314.99,658585792,2012-06-07,247.7111111111111,0.12693565473327378,Positive
40,1314.99,1325.81,1307.77,1325.66,539308928,2012-06-08,229.48076923076923,0.07667881313116559,Positive
41,1325.72,1335.52,1307.73,1308.93,578636224,2012-06-11,249.66666666666666,0.10777819262667748,Positive
42,1309.4,1324.31,1306.62,1324.18,586248896,2012-06-12,269.22727272727275,0.040593915013557885,Positive
43,1324.02,1327.28,1310.51,1314.88,566078592,2012-06-13,162.08,0.11118546176046173,Positive
44,1314.88,1333.68,1314.14,1329.1,616595776,2012-06-14,168.74285714285713,0.052820887445887435,Positive
45,1329.19,1343.32,1329.19,1342.83,1149112064,2012-06-15,122.27272727272727,0.018874458874458874,Positive
46,1342.42,1348.22,1334.46,1344.78,548918272,2012-06-18,166.8695652173913,0.0379787784679089,Positive
47,1344.83,1363.46,1344.83,1357.98,594854016,2012-06-19,165.725,0.11137273027898027,Positive
48,1358.04,1361.57,1346.45,1355.69,582090880,2012-06-20,298.09302325581393,0.046829743009711294,Positive
49,1355.43,1358.27,1324.41,1325.51,687558976,2012-06-21,146.96296296296296,0.16676417718084385,Positive
50,1325.92,1337.82,1325.92,1335.02,937475328,2012-06-22,225.28571428571428,0.11108843537414967,Positive
51,1334.9,1334.9,1309.27,1313.72,605834880,2012-06-25,189.2941176470588,0.04385695945044682,Positive
52,1314.09,1324.24,1310.3,1319.99,557936512,2012-06-26,290.125,0.12243551587301585,Positive
53,1320.71,1334.4,1320.71,1331.85,508537792,2012-06-27,206.21621621621622,0.05798890448890447,Positive
54,1331.52,1331.52,1313.29,1329.04,701561280,2012-06-28,199.21428571428572,0.10135720666332913,Positive
55,1330.12,1362.17,1330.12,1362.16,862206016,2012-06-29,158.22727272727272,0.07608607301789119,Positive
56,1362.33,1366.35,1355.7,1365.51,550391104,2012-07-02,244.94736842105263,0.0833597724421523,Positive
57,1365.75,1374.81,1363.53,1374.02,340459584,2012-07-03,206.96,0.03195821067821067,Positive
